,weight,total_gross_income,pitax,table_row
156744,635.8733023204068,0.0,0.0,1
156746,635.8733023204068,0.0,0.0,1
38787,908.6537334607552,0.0,0.0,1
156753,635.8733023204068,0.0,0.0,1
38788,908.6537334607552,0.0,0.0,1
156764,492.1106426653583,0.0,0.0,1
90526,678.2648558084338,0.0,0.0,1
38793,908.6537334607552,0.0,0.0,1
38800,908.6537334607552,0.0,0.0,1
64171,1098.4941686462678,0.0,0.0,1
156821,599.0110818960353,0.0,0.0,1
64173,1098.4941686462678,0.0,0.0,1
123517,307.7995405435012,0.0,0.0,1
156862,541.8746402382596,0.0,0.0,1
16093,702.2252990842753,0.0,0.0,1
38855,822.0275154634821,0.0,0.0,1
38856,822.0275154634821,0.0,0.0,1
16056,680.1079668296524,0.0,0.0,1
16055,680.1079668296524,0.0,0.0,1
38857,822.0275154634821,0.0,0.0,1
156972,473.6795324531725,0.0,0.0,1
38862,822.0275154634821,0.0,0.0,1
156974,473.6795324531725,0.0,0.0,1
156975,473.6795324531725,0.0,0.0,1
64195,1098.4941686462678,0.0,0.0,1
156982,473.6795324531725,0.0,0.0,1
38864,822.0275154634821,0.0,0.0,1
57062,1736.2105819878932,0.0,0.0,1
90619,641.4026353840624,0.0,0.0,1
38873,822.0275154634821,0.0,0.0,1
16061,680.1079668296524,0.0,0.0,1
38833,822.0275154634821,0.0,0.0,1
38852,822.0275154634821,0.0,0.0,1
38847,822.0275154634821,0.0,0.0,1
16091,702.2252990842753,0.0,0.0,1
123735,283.83909726765984,0.0,0.0,1
156884,427.60175692270826,0.0,0.0,1
38836,822.0275154634821,0.0,0.0,1
90595,704.0684101054939,0.0,0.0,1
123159,256.1924319493813,0.0,0.0,1
38838,822.0275154634821,0.0,0.0,1
38839,822.0275154634821,0.0,0.0,1
16079,761.2048517632695,0.0,0.0,1
16078,761.2048517632695,0.0,0.0,1
38842,822.0275154634821,0.0,0.0,1
38844,822.0275154634821,0.0,0.0,1
57069,1251.472383407409,0.0,0.0,1
156917,422.07242385905255,0.0,0.0,1
156925,418.3862018166154,0.0,0.0,1
38851,822.0275154634821,0.0,0.0,1
158058,975.0057302246236,0.0,0.0,1
123516,307.7995405435012,0.0,0.0,1
123197,298.5839854374084,0.0,0.0,1
39129,1074.5337253704265,0.0,0.0,1
157742,541.8746402382596,0.0,0.0,1
157743,541.8746402382596,0.0,0.0,1
76112,1620.0945876511232,0.0,0.0,1
157749,541.8746402382596,0.0,0.0,1
157750,540.0315292170411,0.0,0.0,1
76114,1620.0945876511232,0.0,0.0,1
123313,311.48576258593835,0.0,0.0,1
64311,1358.3728226380863,0.0,0.0,1
157757,540.0315292170411,0.0,0.0,1
39133,1074.5337253704265,0.0,0.0,1
157770,492.1106426653583,0.0,0.0,1
56952,1754.6416922000788,0.0,0.0,1
157772,492.1106426653583,0.0,0.0,1
123312,311.48576258593835,0.0,0.0,1
15752,392.58264751955545,0.0,0.0,1
123316,311.48576258593835,0.0,0.0,1
90845,737.2444084874281,0.0,0.0,1
157660,488.42442062292105,0.0,0.0,1
90923,630.343969256751,0.0,0.0,1
157664,488.42442062292105,0.0,0.0,1
15778,392.58264751955545,0.0,0.0,1
123369,261.72176501303693,0.0,0.0,1
90783,718.8132982752425,0.0,0.0,1
39097,1262.5310495347203,0.0,0.0,1
123348,300.4270964586269,0.0,0.0,1
56937,1306.7657140439665,0.0,0.0,1
123345,317.01509564959406,0.0,0.0,1
39108,991.5937294155908,0.0,0.0,1
39111,991.5937294155908,0.0,0.0,1
123340,317.01509564959406,0.0,0.0,1
39117,154.8213257823599,0.0,0.0,1
157735,541.8746402382596,0.0,0.0,1
157775,492.1106426653583,0.0,0.0,1
64312,1358.3728226380863,0.0,0.0,1
39139,154.8213257823599,0.0,0.0,1
