Policy Parameter,Year,Value
rate1,2025,0.05
tbrk1,2025,151000.0
rate2,2025,0.11
tbrk2,2025,400000.0
rate3,2025,0.2
tbrk3,2025,750000.0
rate4,2025,0.25
tbrk4,2025,1200000.0
rate5,2025,0.3
tbrk5,2025,3000000.0
rate6,2025,0.35
tbrk6,2025,4500000.88
rate7,2025,0.38
tbrk7,2025,1e+99
rate8,2025,0.38
tbrk8,2025,2e+99
rate9,2025,0.38
tbrk9,2025,3e+99
rate10,2025,0.38
tbrk10,2025,4e+99
rate11,2025,0.38
tbrk11,2025,5e+99
capitalgains_bonds_rate,2025,0.15
