,2022,2023,2024,2025,2026,2027,2028,2029,2030
current_law_All,1129.99,1255.41,1337.91,1240.72,1240.72,1240.72,1240.72,1240.72,1240.72
reform_All,1129.99,1255.41,1337.91,1240.72,1238.62,1238.62,1238.62,1238.62,1238.62
